Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,P1NP,Error low: P1NP,Error high: P1NP,CTX,Error low: CTX,Error high: CTX,Medication: Denosumab (mg)
9125,1.0,,,,,,,,,
12775,0.9895287958115183,,,,,,,,,
16425,0.9633507853403143,,,,,,,,,
20075,0.9172774869109946,,,,,,,,,
21900,0.882198952879581,0.882198952879581,0.882198952879581,1.0,1.0,1.0,1.0,1.0,1.0,60.0
21930,0.8881998854489004,0.8856262896273036,0.8911694190946333,0.6703862661,0.5570815451,0.8120171674,0.11069182389999999,0.0968553459,0.1614255765,
22080,,,,,,,,,,60.0
22082,0.9011668490173297,0.8979003620167275,0.9039384137509947,0.2643776823999999,0.18884120170000007,0.3304721030000001,0.23522012579999996,0.13836477990000007,0.39203354299999993,
22204,,,,0.2643776823999999,0.17939914160000003,0.3399141631,0.1429769392,0.08763102730000005,0.25366876309999997,
22260,,,,,,,,,,60.0
22265,0.9060170873056543,0.9033445070236126,0.9090856054030103,0.32575107299999995,0.1982832618,0.4532188841,0.29979035640000007,0.1429769392,0.5580712788,
22325,,,,0.2596566524,0.1699570815,0.32103004290000003,0.12452830189999997,0.09224318659999997,0.1937106918000001,
22440,,,,,,,,,,60.0
22447,,,,0.2832618026,0.22188841199999998,0.49570815449999994,0.28134171910000005,0.17064989519999996,0.6226415094,
22630,0.9134409214067538,0.9099764654940837,0.9172023306831151,0.3635193133,0.2266094421,0.5665236052,0.3689727463,0.18909853249999997,0.75639413,
22721,,,,0.92532188841,0.7034334764000001,1.35,1.2683438155,0.93165618449,1.9417190776,
22812,0.8947328594589267,0.8901795745431151,0.898989191011047,1.425751073,1.1236051502,1.8270386265999998,1.6234800839,1.2176100629,2.1815513629999996,
22995,0.8817658958904973,0.8769156576109947,0.8865171497183768,1.4729613734,1.2274678112,1.756223176,1.3559748428,1.04696016771,1.7341719078,
23177,0.8770146420626177,0.8717684659589789,0.8825577715299476,1.3454935622,1.05278969957,1.9592274678,1.07002096436,0.8117400419,1.4528301887,
23360,0.8760247975110994,0.8698877613252093,0.8816669114388742,1.0008583691,0.8450643777,1.3030042918,0.8809224319,0.6549266247000001,1.2129979036,
