Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,P1NP,Error low: P1NP,Error high: P1NP,CTX,Error low: CTX,Error high: CTX,Medication: Romosozumab (mg),Medication: Denosumab (mg)
9125,1.0,,,,,,,,,,
12775,0.9895287958115183,,,,,,,,,,
16425,0.9633507853403143,,,,,,,,,,
20075,0.9172774869109946,,,,,,,,,,
23725,0.8471204188481676,,,,,,,,,,
25915,0.8037696335078535,0.8037696335078535,0.8037696335078535,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
25930,,,,1.03430079156,0.9327176781,1.08970976253,1.04054054054,0.9270270270300001,1.0972972973,,
25945,,,,0.96042216359,0.8403693931,1.08047493404,1.0027027027,0.8608108108,1.07837837838,0.0,0.0
25975,,,,,,,,,,0.0,0.0
25991,,,,0.91424802111,0.8218997361,1.05277044855,0.8797297297,0.7189189189,1.06891891892,,
26005,,,,,,,,,,0.0,0.0
26006,,,,0.9327176781,0.7941952507,1.172823219,0.8891891892,0.7851351351,1.0027027027,,
26035,,,,,,,,,,0.0,0.0
26065,,,,,,,,,,0.0,0.0
26082,,,,0.96965699208,0.7941952507,1.209762533,0.7567567568,0.5675675676,0.8513513514,,
26095,,,,,,,,,,0.0,0.0
26097,0.806625326190844,0.800279747663288,0.8112787504438493,0.90501319261,0.7849604222,1.05277044855,0.6810810811,0.5013513514000001,0.7567567568,,
26125,,,,,,,,,,0.0,0.0
26155,,,,,,,,,,0.0,0.0
26185,,,,,,,,,,0.0,0.0
26188,,,,0.91424802111,0.7480211082,1.01583113456,0.7662162162,0.4540540541,0.8986486486,,
26215,,,,,,,,,,0.0,0.0
26245,,,,,,,,,,0.0,0.0
26280,0.8035575671929928,0.7967896794675058,0.808210991445998,0.9419525066,0.7387862797,1.03430079156,0.7189189189,0.46351351350000003,0.97432432432,0.0,60.0
26310,,,,0.7295514512000001,0.6002638522,0.8773087071,0.06621621619999996,0.047297297299999985,0.12297297299999999,,
26460,,,,,,,,,,0.0,60.0
26462,0.8161415058559918,0.8097981154546221,0.8224878137562639,0.3139841688999999,0.24010554090000003,0.47097625330000004,0.16081081080000004,0.11351351350000005,0.2554054053999999,,
26645,0.8274599756947435,0.8202690494066472,0.8321133999477488,0.2955145119,0.24934036940000004,0.5171503958000001,0.20810810810000002,0.14189189189999996,0.3310810811,,
