Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,P1NP,Error low: P1NP,Error high: P1NP,CTX,Error low: CTX,Error high: CTX,Medication: Denosumab (mg)
9125,1.0,,,,,,,,,
12775,0.9895287958115183,,,,,,,,,
16425,0.9633507853403143,,,,,,,,,
20075,0.9172774869109946,,,,,,,,,
23725,0.8471204188481676,,,,,,,,,
24090,0.8398952879581152,0.8398952879581152,0.8398952879581152,1.0,1.0,1.0,1.0,1.0,1.0,60.0
24181,0.8499889417554995,0.8482717312660263,0.8536156845611581,0.3861773957,0.30711679599999997,0.4462319144,0.22123893809999995,0.16106194689999997,0.2920353982,
24270,,,,,,,,,,60.0
24272,0.8572190174022011,0.8553091249389162,0.8600818752502858,0.37628853009999996,0.34782134619999994,0.404738939,0.3203539823,0.2743362831999999,0.3734513274,
24450,,,,,,,,,,60.0
24455,0.8594609711185016,0.8554539065337989,0.8642330011188744,0.4513818411,0.3976431118,0.5272803523,0.41946902649999995,0.3769911504,0.47964601770000004,
24630,,,,,,,,,,60.0
24637,0.8693392532968546,0.8645675834519801,0.8733477585035508,0.387318096,0.35256028520000005,0.44109876280000004,0.43362831859999995,0.3734513274,0.4902654866999999,
24820,0.8658551311698859,0.8622287485197256,0.8710096438738942,0.4118431537,0.3644286014,0.45930803099999995,0.5079646017999999,0.43716814159999995,0.5752212389,
