Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,P1NP,Error low: P1NP,Error high: P1NP,CTX,Error low: CTX,Error high: CTX
9125,1.0,,,,,,,,
12775,0.9895287958115183,,,,,,,,
16425,0.9633507853403143,,,,,,,,
20075,0.9172774869109946,,,,,,,,
23725,0.8471204188481676,,,,,,,,
24080,0.8400932367496236,0.8400932367496236,0.8400932367496236,1.0,1.0,1.0,1.0,1.0,1.0
24171,0.8440799916904834,0.8406429600760137,0.8477072290079068,1.9847611159,1.8950944108,2.0943479309999997,1.6712509737,1.5512484472999999,1.8012537106000002
24262,0.8480645851974589,0.8442464216879187,0.8520751158438371,2.830160095,2.551252346,3.1189754769999998,2.162471842,1.9424935261999998,2.4025295269999996
24445,0.8453455080919174,0.8415241024441524,0.8499277365935027,2.748015852,2.459174259,3.016937336,2.114944525,1.9049664203,2.354975894
24627,0.8462511466547371,0.8422413364807197,0.8510235808592764,2.0383357269999998,1.8690147932999999,2.187736551,1.6475399482,1.4774574202,1.8074643677000002
24810,0.8567041753009005,0.8521223070396959,0.8609052718990142,1.6972824776,1.5678017635,1.8267631918,1.5900124213,1.4199825259,1.7799637887
