Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,CTX,Error low: CTX,Error high: CTX,Medication: Denosumab (mg)
9125,1.0,,,,,,
12775,0.9895287958115183,,,,,,
16425,0.9633507853403143,,,,,,
20075,0.9172774869109946,,,,,,
23725,0.8471204188481676,,,,,,
24080,0.8400932367496236,0.8400932367496236,0.8400932367496236,0.92490118577,0.92483974687,0.90106289295,
24090,,,,,,,60.0
24171,0.8625177623153472,0.8586683499500899,0.8676472741513229,0.04896680250000007,-0.04595629599999995,0.1199287309,
24262,0.8721172654823993,0.8679472068429964,0.8766079703959481,0.14536443509999997,0.026848798900000026,0.31124946239999995,
24270,,,,,,,60.0
24445,0.8800936522382052,0.8762458969568575,0.8852239926161359,0.24317516229999991,0.12459808719999999,0.45649101969999994,
24450,,,,,,,60.0
24627,0.8826198808922907,0.8784514793367972,0.887427917912166,0.1985705216,0.12754715439999997,0.4596244035,
24630,,,,,,,60.0
24810,0.8925184882090614,0.8870658444730756,0.8970067074967459,0.2726658338,0.10665792870000002,0.5335968379,60.0
24840,,,,0.0596571709,-0.011304756999999999,0.0596571709,
24990,,,,,,,60.0
24992,0.8927985358602173,0.8883103165725328,0.8985701687780384,0.15703782590000004,0.08589158080000003,0.6788383952,
25170,,,,,,,60.0
25175,0.8991725197872494,0.8943636542338201,0.90430286016518,0.27868684590000004,0.13633291689999993,0.6106412173,
25350,,,,,,,60.0
25357,0.90169791989938,0.8949651767010763,0.9074687242836472,0.23402076630000002,0.11568944680000004,0.5188515022,
25540,0.9115973557581056,0.906467015380175,0.9170499994940915,0.21337729630000002,0.11851563619999994,0.5929468144,
