Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,CTX,Error low: CTX,Error high: CTX,Medication: Denosumab (mg)
9125,1.0,,,,,,
12775,0.9895287958115183,,,,,,
16425,0.9633507853403143,,,,,,
20075,0.9172774869109946,,,,,,
23725,0.8471204188481676,,,,,,
24080,0.8400932367496236,0.8400932367496236,0.8400932367496236,1.0,1.0,1.0,
24171,0.843920278448499,0.8403956550671612,0.8464871057255743,1.5904073399,1.2583915296,2.01728481,
24262,0.84550362477871,0.8416558694973623,0.850313318882495,1.8290974626,1.4733047984,2.777836941,
24445,0.8432193307786547,0.8403335143197441,0.8477083786082938,1.8321079686,1.3341456921000001,2.804317107,
24627,0.8454232560746848,0.8409350367870003,0.8492718398979873,1.4080566876,0.98117921727,2.0010035019999997,
24810,0.8562846307474468,0.8508353011876808,0.8607736785770859,1.2687747036,1.00772082164,2.09875279,60.0
24840,,,,0.08349546380000006,-0.05885846500000014,0.13098773269999997,
24990,,,,,,,60.0
24992,0.87516381934936,0.869712004155329,0.8799743420035007,0.2284298265,0.08595301969999991,0.6077535891,
25170,,,,,,,60.0
25175,0.88442279121015,0.8792907937399089,0.8895531315796796,0.2787482848,0.0889635258,0.4683487272,
25350,,,,,,,60.0
25357,0.8866258879558243,0.8818170223939941,0.8904761288630362,0.2816359131,0.1394048619,0.5898748694,
25540,0.895885688350168,0.890114055423946,0.9006970395378624,0.21337729630000002,0.09480022119999998,0.5928239366,
