Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,Medication: Romosozumab (mg),Medication: Denosumab (mg)
9125,1.0,,,,
12775,0.9895287958115183,,,,
16425,0.9633507853403143,,,,
20075,0.9172774869109946,,,,
23725,0.8471204188481676,,,,
25915,0.8049423937582033,,,0.0,0.0
25945,,,,0.0,0.0
25975,,,,0.0,0.0
26005,,,,0.0,0.0
26035,,,,0.0,0.0
26065,,,,0.0,0.0
26095,,,,0.0,0.0
26125,,,,0.0,0.0
26155,,,,0.0,0.0
26185,,,,0.0,0.0
26215,,,,0.0,0.0
26245,,,,0.0,0.0
26280,0.8061098694804189,,,0.0,60.0
26460,,,,0.0,60.0
26640,,,,0.0,60.0
26645,0.8289057271783288,,,,
26820,,,,0.0,60.0
27010,0.836797976848888,,,,
