Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,Medication: Denosumab (mg)
9125,1.0,,,
12775,0.9895287958115183,,,
16425,0.9633507853403143,,,
20075,0.9172774869109946,,,
22995,0.8611558172513843,0.8611558172513843,0.8615127702920377,0.0
23031,0.8583039679832796,0.8500927896901362,0.8682986531215748,
23085,,,,0.0
23086,0.8629502298352921,0.8504581317619267,0.8722326867002304,
23175,,,,0.0
23177,0.8615329039529884,0.850110406643468,0.8736705656933195,
23265,,,,0.0
23355,,,,0.0
23360,0.8558430473129885,0.8437058050224922,0.8697629575489676,
23445,,,,0.0
23535,,,,0.0
23542,0.8487257979602094,0.8340894649353047,0.8633591948276608,
23625,,,,0.0
23725,0.8441042837431623,0.8316109273116817,0.8587393584099519,0.0
23905,,,,0.0
24085,,,,0.0
24090,0.8370067486014995,0.8212999759044691,0.8552105147837655,
24265,,,,0.0
24445,,,,60.0
24455,0.8270540085930556,0.8099211015327498,0.8463282144388357,
24625,,,,60.0
24805,,,,60.0
24820,0.8499401094250555,0.8313798096605822,0.8713577113227058,
24985,,,,60.0
25165,,,,60.0
25185,0.8631888976092481,0.8449842925273131,0.8813935026911832,
25345,,,,60.0
25525,,,,60.0
25550,0.8625165172079581,0.8403862675785048,0.8857184648590408,
25705,,,,60.0
25915,0.873266634107577,0.8511363844781236,0.8989676724930681,
26280,0.8172673712788441,0.7904963126710618,0.8451097084670325,
