Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,P1NP,Error low: P1NP,Error high: P1NP,CTX,Error low: CTX,Error high: CTX,Medication: Romosozumab (mg),Medication: Denosumab (mg),Medication: Alendronate (mg)
9125,1.0,,,,,,,,,,,
12775,0.9895287958115183,,,,,,,,,,,
16425,0.9633507853403143,,,,,,,,,,,
20075,0.9172774869109946,,,,,,,,,,,
23725,0.8471204188481676,,,,,,,,,,,
24455,0.8326701570680629,0.8326701570680629,0.8326701570680629,1.0,1.0,1.0,0.99085365854,0.99851199138,1.0137195122,0.0,0.0,70.0
24462,,,,,,,,,,0.0,0.0,70.0
24469,,,,,,,,,,0.0,0.0,70.0
24476,,,,,,,,,,0.0,0.0,70.0
24483,,,,,,,,,,0.0,0.0,70.0
24490,,,,,,,,,,0.0,0.0,70.0
24497,,,,,,,,,,0.0,0.0,70.0
24504,,,,,,,,,,0.0,0.0,70.0
24511,,,,,,,,,,0.0,0.0,70.0
24518,,,,,,,,,,0.0,0.0,70.0
24525,,,,,,,,,,0.0,0.0,70.0
24532,,,,,,,,,,0.0,0.0,70.0
24539,,,,,,,,,,0.0,0.0,70.0
24546,0.8402846963037823,0.8363662484999371,0.8422377004427394,0.4102584223,0.3176284638,0.5954436074,0.34364267420000005,0.24453911750000001,0.4427098492,0.0,0.0,70.0
24553,,,,,,,,,,0.0,0.0,70.0
24560,,,,,,,,,,0.0,0.0,70.0
24567,,,,,,,,,,0.0,0.0,70.0
24574,,,,,,,,,,0.0,0.0,70.0
24581,,,,,,,,,,0.0,0.0,70.0
24588,,,,,,,,,,0.0,0.0,70.0
24595,,,,,,,,,,0.0,0.0,70.0
24602,,,,,,,,,,0.0,0.0,70.0
24609,,,,,,,,,,0.0,0.0,70.0
24616,,,,,,,,,,0.0,0.0,70.0
24623,,,,,,,,,,0.0,0.0,70.0
24630,,,,,,,,,,0.0,0.0,70.0
24637,0.8432981692539645,0.8364471053602012,0.845260503029043,0.38830598149999995,0.28031865599999994,0.5736032643,0.3366392107,0.19944408870000008,0.5195478491000001,0.0,0.0,70.0
24644,,,,,,,,,,0.0,0.0,70.0
24651,,,,,,,,,,0.0,0.0,70.0
24658,,,,,,,,,,0.0,0.0,70.0
24665,,,,,,,,,,0.0,0.0,70.0
24672,,,,,,,,,,0.0,0.0,70.0
24679,,,,,,,,,,0.0,0.0,70.0
24686,,,,,,,,,,0.0,0.0,70.0
24693,,,,,,,,,,0.0,0.0,70.0
24700,,,,,,,,,,0.0,0.0,70.0
24707,,,,,,,,,,0.0,0.0,70.0
24714,,,,,,,,,,0.0,0.0,70.0
24721,,,,,,,,,,0.0,0.0,70.0
24728,,,,0.38965115240000003,0.2739477775,0.5208613577,0.32965393789999997,0.26103818619999997,0.4820929623,0.0,0.0,70.0
24735,,,,,,,,,,0.0,0.0,70.0
24742,,,,,,,,,,0.0,0.0,70.0
24749,,,,,,,,,,0.0,0.0,70.0
24756,,,,,,,,,,0.0,0.0,70.0
24763,,,,,,,,,,0.0,0.0,70.0
24770,,,,,,,,,,0.0,0.0,70.0
24777,,,,,,,,,,0.0,0.0,70.0
24784,,,,,,,,,,0.0,0.0,70.0
24791,,,,,,,,,,0.0,0.0,70.0
24798,,,,,,,,,,0.0,0.0,70.0
24805,,,,,,,,,,0.0,0.0,70.0
24812,,,,,,,,,,0.0,0.0,70.0
24819,,,,,,,,,,0.0,0.0,70.0
24820,0.8503140567330848,0.8454128871134492,0.8561917284305257,0.3601694915,0.2828221684000001,0.6996382985,0.31504671400000006,0.1854735433000001,0.48269325919999995,140.0,0.0,0.0
24850,,,,0.5843085822,0.40691417809999997,0.7926419155,0.42193593919999994,0.2542530124,0.5591310612,140.0,0.0,0.0
24880,,,,0.6695961498,0.3995717873,0.7930155741,0.43741632230000005,0.3231234356,0.5974409162000001,140.0,0.0,0.0
24910,,,,,,,,,,140.0,0.0,0.0
24911,,,,0.6237856097000001,0.43848832690000006,0.7472797656,0.48338451020000006,0.3156833925,0.6205250597,,,
24940,,,,,,,,,,140.0,0.0,0.0
24970,,,,,,,,,,140.0,0.0,0.0
25000,,,,,,,,,,140.0,0.0,0.0
25002,0.8553645005639707,0.8494899387480127,0.8612452821428944,0.5788344841999999,0.4708097928,0.7794144023,0.5144908027,0.40772891320000004,0.6745517782999999,,,
25030,,,,,,,,,,140.0,0.0,0.0
25060,,,,,,,,,,140.0,0.0,0.0
25090,,,,,,,,,,140.0,0.0,0.0
25093,,,,0.6881296147,0.4642520849999999,0.8346224554,0.6218529891,0.40838378249999996,0.8276092904,,,
25120,,,,,,,,,,140.0,0.0,0.0
25150,,,,,,,,,,140.0,0.0,0.0
25180,,,,,,,,,,140.0,0.0,0.0
25185,0.8565058262354598,0.8496547623416963,0.8633600000023791,0.635425074,0.5196843332000001,0.7511284489000001,0.6299842831,0.5309352989,0.7520082659,0.0,60.0,0.0
25276,,,,0.2353862135,0.16594176900000013,0.5208053089,0.16575470050000007,0.1200229932000001,0.21910835900000014,,,
25365,,,,,,,,,,0.0,60.0,0.0
25367,0.8644951059109027,0.8556817082420608,0.8742943352853446,0.21350850449999992,0.17492825759999997,0.25216348310000003,0.22740337040000003,0.09013548520000003,0.2807206472999999,,,
25550,0.8715141032715059,0.8636709879175036,0.8822898347154263,0.3163953905,0.2624204107,0.38583983499999996,0.33534766279999995,0.12955497989999998,0.5487804878,,,
