Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,P1NP,Error low: P1NP,Error high: P1NP,CTX,Error low: CTX,Error high: CTX,Medication: Romosozumab (mg),Medication: Denosumab (mg),Medication: Alendronate (mg)
9125,1.0,,,,,,,,,,,
12775,0.9895287958115183,,,,,,,,,,,
16425,0.9633507853403143,,,,,,,,,,,
20075,0.9172774869109946,,,,,,,,,,,
23725,0.8471204188481676,,,,,,,,,,,
24455,0.8326701570680629,0.8326701570680629,0.8326701570680629,1.0,1.0,1.0,1.0035045366,0.68028844,0.98640814165,210.0,0.0,0.0
24485,,,,1.9607186634999998,1.6795296681,2.265382636,0.6631023002,0.5949859549000001,0.8841887514,210.0,0.0,0.0
24515,,,,1.4292497087,1.08548599446,1.7730134229,0.99441787,0.7563247687,1.1645516796,210.0,0.0,0.0
24545,,,,,,,,,,210.0,0.0,0.0
24546,0.841071495736042,0.8332346001450053,0.8479318892659269,1.4446663943,1.04627275616,1.6556007022,1.07927163075,0.8156236819,1.1812217865,,,
24575,,,,,,,,,,210.0,0.0,0.0
24605,,,,,,,,,,210.0,0.0,0.0
24635,,,,,,,,,,210.0,0.0,0.0
24637,0.858788477570111,0.8519280840402261,0.8646630393860693,1.09246606438,0.8112014043,1.334612067,0.9255386934900001,0.7638857727,1.1636317948000001,,,
24665,,,,,,,,,,210.0,0.0,0.0
24695,,,,,,,,,,210.0,0.0,0.0
24725,,,,,,,,,,210.0,0.0,0.0
24728,,,,0.9121381335000001,0.6933725277,1.1699656482,0.8056620029,0.6696761108,0.99278002638,,,
24755,,,,,,,,,,210.0,0.0,0.0
24785,,,,,,,,,,210.0,0.0,0.0
24815,,,,,,,,,,210.0,0.0,0.0
24820,0.8736474804115603,0.8628717489676399,0.8795220422275185,0.7942903406,0.6067742619000001,1.02868071004,0.7029714522,0.5668958152,0.96659696483,,,
24845,,,,,,,,,,210.0,0.0,0.0
24850,,,,0.7393955903,0.6064905192,0.91902362252,0.7792770154,0.6091880783,1.05984186956,,,
24875,,,,,,,,,,210.0,0.0,0.0
24880,,,,0.7391685961000001,0.5673151133,0.93444030811,0.7365360281,0.6003706463,0.95755517065,,,
24905,,,,,,,,,,210.0,0.0,0.0
24911,,,,0.7780035108,0.6061500280000001,0.8796212224,0.8043158301,0.48960305849999997,1.03390560636,,,
24935,,,,,,,,,,210.0,0.0,0.0
24965,,,,,,,,,,210.0,0.0,0.0
24995,,,,,,,,,,210.0,0.0,0.0
25002,0.8787103637517236,0.8689111343772817,0.8875206515390829,0.7382606195,0.5819940679,0.8710711097,0.7440521597,0.5654823337,1.03318764752,,,
25025,,,,,,,,,,210.0,0.0,0.0
25055,,,,,,,,,,210.0,0.0,0.0
25085,,,,,,,,,,210.0,0.0,0.0
25093,,,,0.7142181565,0.628281957,0.8548221123,0.8199089987,0.6498424977999999,1.07498631391,,,
25115,,,,,,,,,,210.0,0.0,0.0
25145,,,,,,,,,,210.0,0.0,0.0
25175,,,,,,,,,,210.0,0.0,0.0
25185,0.8837732471002138,0.872985076138689,0.893563146838534,0.6979691591,0.5807834325000001,0.8229672674,0.96368025703,0.6915289831,1.2953099339,,,
25276,,,,0.759806147,0.6816066645000001,0.8379299647,1.6262665243,1.2265653746,2.0684618629999996,,,
25367,0.8682580597488587,0.8555231044030157,0.8780541792418178,0.90763608299,0.7356501869000001,1.00132791574,1.7615568938,1.3704936864,2.161190735,,,
25550,0.8439356944833006,0.8282587934197445,0.857644042025466,1.00775941647,0.7578199482,1.25,1.403071069,1.1394231201,1.6326384090000001,,,
