Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,P1NP,Error low: P1NP,Error high: P1NP,CTX,Error low: CTX,Error high: CTX,Medication: Blosozumab (mg)
9125,1.0,,,,,,,,,
12775,0.9895287958115183,,,,,,,,,
16425,0.9633507853403143,,,,,,,,,
20075,0.9172774869109946,,,,,,,,,
23725,0.8471204188481676,0.8471204188481676,0.8471204188481676,1.0,1.0,1.0,1.0,1.0,1.0,180.0
23732,,,,1.7563739377,1.5104815864,2.0101983,0.6689378322999999,0.549112426,0.750295858,
23739,,,,2.0181303120000003,1.5104815864,2.454390935,0.7046218943,0.40118343200000006,0.8153846154,180.0
23753,,,,2.295750708,1.740509915,3.0334277619999996,0.835304329,0.6082840237,0.8686390533,180.0
23767,,,,,,,,,,180.0
23781,,,,,,,,,,180.0
23795,,,,,,,,,,180.0
23809,,,,1.3201133144,1.1059490085,1.8753541076000002,1.01975697081,0.8035502959,1.3479289940999999,180.0
23823,,,,,,,,,,180.0
23837,,,,,,,,,,180.0
23851,,,,,,,,,,180.0
23865,,,,,,,,,,180.0
23879,,,,1.3518413598,1.1297450425,1.8436260622999998,0.8838559184,0.750295858,1.2710059172000001,180.0
23893,0.8726841540195917,0.867537093244377,0.8775738617547749,1.1614730878,0.8362606232,1.6611898017,0.8958337854,0.7207100592,1.3065088757,180.0
23907,,,,,,,,,,180.0
23921,,,,,,,,,,180.0
23935,,,,,,,,,,180.0
23949,,,,,,,,,,180.0
23963,,,,,,,,,,180.0
23977,,,,,,,,,,180.0
23991,,,,,,,,,,180.0
24005,,,,,,,,,,180.0
24019,,,,,,,,,,180.0
24033,,,,,,,,,,180.0
24047,,,,,,,,,,180.0
24061,,,,,,,,,,180.0
24075,,,,,,,,,,180.0
24089,0.885809158993424,0.8798900390981153,0.8914709258402305,0.8997167139,0.7410764873,1.1138810198,0.8618964956,0.5195266272,0.98698224852,
24117,,,,0.6538243626,0.5031161473000001,0.8124645892,0.8502766627,0.5846153846,1.2,
24173,0.8863238650650158,0.879632686066555,0.8917282788802618,0.7886685552,0.6062322946,0.9552407932,1.08221764131,0.92189349112,1.3301775148,
24257,0.877059155674712,0.8721694479395288,0.8832356286015811,0.6776203966000001,0.51898017,0.8838526912,0.98202235001,0.7621301775,1.4721893491,
24341,0.8765444496031205,0.8713973888279058,0.8822062164499267,0.7252124646,0.6300283285999999,0.9076487252100001,1.1133123576,0.874556213,1.5313609467,
24453,0.8688238584360629,0.8634194446292881,0.8739709192112776,0.7490084986000001,0.5824362606,0.8997167139,1.2685472496,0.6852071006,1.2828402367,
