Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,Unnamed: 4,P1NP,Error low: P1NP,Error high: P1NP,CTX,Error low: CTX,Error high: CTX,Medication: Blosozumab (mg)
9125,1.0,,,,,,,,,,
12775,0.9895287958115183,,,,,,,,,,
16425,0.9633507853403143,,,,,,,,,,
20075,0.9172774869109946,,,,,,,,,,
23725,0.8471204188481676,0.8471204188481676,0.8471204188481676,0.8471204188481676,1.0,1.0,1.0,1.0,1.0,1.0,180.0
23732,,,,,1.4897727273,1.2645892351,1.9943342776000001,0.5562004991,0.4840236686,0.7680473373,
23739,,,,,1.6886363636000001,1.4946175637,2.176770538,0.6868286860999999,0.5668639053,0.8508875739999999,
23753,,,,,1.2193181818,1.0821529745,1.4470254958,0.91245524574,0.5905325444,1.00473372781,180.0
23781,,,,,,,,,,,180.0
23809,,,,,0.7818181818000001,0.6934844193,0.8679886686,0.98415970489,0.8331360946999999,1.4071005917,180.0
23837,,,,,,,,,,,180.0
23865,,,,,,,,,,,180.0
23879,,,,,0.925,0.7569405099,1.2883852691,0.688022133,0.6852071006,1.4130177515,
23893,0.8549267943506073,0.8492650275038011,0.8600738551258219,0.8540268597094451,0.7102272727000001,0.6220963173,1.02662889518,0.8365086254,0.7266272189,1.2769230769,180.0
23921,,,,,,,,,,,180.0
23949,,,,,,,,,,,180.0
23977,,,,,,,,,,,180.0
24005,,,,,,,,,,,180.0
24033,,,,,,,,,,,180.0
24061,,,,,,,,,,,180.0
24089,0.8647062098209738,0.859301796014199,0.8706253297078115,0.8541058617446178,0.7420454545,0.6617563739,1.02662889518,0.90342844743,0.5431952662999999,1.09349112426,
24117,,,,,0.6147727273000001,0.5031161473000001,0.7093484419,0.9571010090100001,0.6437869822,1.1408284024,
24173,0.8585297368941048,0.8528679700472985,0.8652209159010367,0.8540559657250787,0.7659090909,0.6776203966000001,0.9790368272,1.2365303243999999,0.8035502959,1.3952662722,
24257,0.8562135595507645,0.850037086615424,0.8616179733575393,0.8540372547156335,0.8772727273,0.5824362606,1.05042492918,1.08882499729,0.7147928994,1.5846153846,
24341,0.8544120882790157,0.8487503214237383,0.8598165020857905,0.8540227017120524,0.8772727273,0.5745042493,1.02662889518,1.07770424216,0.8982248521,1.9396449703999998,
24453,0.8482356153521466,0.8418017893852462,0.8533826761188902,0.8539728056925131,0.8772727273,0.7886685552,1.05835694051,1.3991320386,0.7798816568,1.5668639053,
