Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,P1NP,Error low: P1NP,Error high: P1NP,CTX,Error low: CTX,Error high: CTX,Medication: Blosozumab (mg)
9125,1.0,,,,,,,,,
12775,0.9895287958115183,,,,,,,,,
16425,0.9633507853403143,,,,,,,,,
20075,0.9172774869109946,,,,,,,,,
23725,0.8471204188481676,0.8471204188481676,0.8471204188481676,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23732,,,,0.94090909091,0.8679886686,1.03456090652,0.99535640664,0.773964497,1.1349112425999999,
23739,,,,0.93295454545,0.8521246459,0.9552407932,1.0606921992,0.7680473373,1.1585798817,
23753,,,,0.8931818182,0.8124645892,0.9790368272,1.02840236686,0.7029585799,1.3065088757,0.0
23781,,,,,,,,,,0.0
23809,,,,0.8056818182,0.7093484419,0.98696883853,0.9307366822200001,0.750295858,1.0402366863899999,0.0
23837,,,,,,,,,,0.0
23865,,,,,,,,,,0.0
23879,,,,0.8215909091,0.7172804533,0.99490084986,0.877932082,0.6556213017999999,1.1349112425999999,
23893,0.8374267877301257,0.8325370799949424,0.843088554576932,0.93295454545,0.7728045326,1.09801699717,0.9433438212,0.7266272189,0.99289940828,0.0
23921,,,,,,,,,,0.0
23949,,,,,,,,,,0.0
23977,,,,,,,,,,0.0
24005,,,,,,,,,,0.0
24033,,,,,,,,,,0.0
24061,,,,,,,,,,0.0
24089,0.8420591424252776,0.835625316458377,0.8474635562320523,0.91704545455,0.8203966006,1.05835694051,1.1289356624,0.7798816568,1.2710059172000001,
24117,,,,0.8295454545000001,0.6617563739,0.96317280453,0.92148204405,0.7088757396,1.0875739645,
24173,0.8381988468417487,0.8325370799949424,0.8448900258486807,0.96477272727,0.8759206799,1.04249291785,0.9041662146,0.7088757396,1.1526627219,
24257,0.8376841407616858,0.8320223739148797,0.843860613688555,0.8375,0.6141643058999999,0.8838526912,1.04138005859,0.7029585799,1.1230769231,
24341,0.8376841407616858,0.8320223739148797,0.843088554576932,0.7818181818000001,0.6934844193,0.8759206799,0.9293262449799999,0.8035502959,1.09940828402,
24453,0.8358826694984084,0.8304782556831624,0.8420591424252776,0.6704545454999999,0.5507082153,0.8838526912,0.8353151785,0.6556213017999999,1.0224852071,
