Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,P1NP,Error low: P1NP,Error high: P1NP,CTX,Error low: CTX,Error high: CTX
9125,1.0,,,,,,,,
12775,0.9895287958115183,,,,,,,,
16425,0.9633507853403143,,,,,,,,
20075,0.9172774869109946,,,,,,,,
23725,0.8471204188481676,,,,,,,,
27010,0.7820942408376964,0.7820942408376964,0.7820942408376964,1.0,1.0,1.0,1.0,1.0,1.0
27040,,,,0.8923076923,0.7307692308,1.04615384615,0.4074756877,0.2536194516000001,0.5228705506
27101,,,,0.5076923077,0.37692307690000004,0.7461538462,0.2993433634,0.18396998720000002,0.5224300712000001
27192,,,,0.4230769231,0.2846153846,0.5846153846,0.27564342220000004,0.1448747534,0.4833455808
27283,,,,0.4076923077,0.2923076923000001,0.6076923077,0.3134601913999999,0.13652713140000006,0.48269023339999995
27375,0.8041839255032347,0.8025918761577592,0.8057759748487101,0.3692307692,0.2692307692,0.5384615385,0.28970653330000007,0.1820469186,0.5281992772
27466,,,,0.3846153846,0.2538461538,0.5615384615,0.30447870870000004,0.1506332159999999,0.5660053029000001
27557,,,,0.4076923077,0.2307692308,0.5615384615,0.34229547790000003,0.18846072860000007,0.6422941887
27740,0.8085620612052472,0.8067710056886545,0.8105521228851363,0.4076923077,0.24615384620000003,0.5769230769,0.3640616070000001,0.19486379519999997,0.6564002733000001
28105,0.8103531167140189,0.8079650426997163,0.8127411907361425,0.35384615379999995,0.24615384620000003,0.6,0.27692188689999997,0.14615321809999993,0.5538330304000001
